,Info,Ticker,Exchange,Ratio
237,Roblox Corp.,RBLX,NYSE,02:01:00
238,Roku,ROKU,NASDAQ,13:01:00
239,"Ross Stores, Inc.",ROST,NASDAQ,04:01:00
240,Royal Dutch Shell Plc,SHEL,NYSE,02:01:00
241,S&P Global Inc,SPGI,NYSE,"1 day, 21:01:00"
242,Salesforce Inc.,CRM,NYSE,18:01:00
243,Samsung Electronics Co. Ltd.,SMSN,,14:01:00
244,Sap Se,SAP,NYSE,06:01:00
245,Satellogic Inc.,SATL,NASDAQ GS,01:01:00
246,Schlumberger Ltd,SLB,NYSE,03:01:00
247,Sea Ltd.,SE,NYSE,"1 day, 8:01:00"
248,Shapeways Holdings Inc,SHPW,NYSE,01:02:00
249,Shopify Inc.,SHOP,NYSE,"4 days, 11:01:00"
250,Siemens Ag Adr,SIEGY,OTC,03:01:00
251,Silvergate Bancorp,SI,NYSE,10:01:00
252,Skyworks Solutions,SWKS,NASDAQ,21:01:00
253,Snap Inc.,SNAP,NYSE,01:01:00
254,Snap-On Inc,SNA,NYSE,06:01:00
255,Snowflake Inc.,SNOW,NYSE,"1 day, 6:01:00"
256,Sony Group Corporation,SONY,NYSE,08:01:00
257,Southern Copper Corp,SCCO,NYSE,02:01:00
258,SPDR DOW JONES INDUSTRIAL,DIA,NYSE Arca,20:01:00
259,SPDR S&P 500 SPY,SPY,NYSE Arca,20:01:00
260,Spotify Technology S.A.,SPOT,NYSE,"1 day, 4:01:00"
261,Square Inc.,SQ,NYSE,20:01:00
262,Starbucks Corporation,SBUX,NASDAQ,12:01:00
263,Stellantis,STLA,NYSE,05:01:00
264,StoneCo Ltd,STNE,NASDAQ,03:01:00
265,SunCar Technology Group Inc,SDA,NASDAQ,02:01:00
266,Suzano Papel E Celulose S.A.,SUZ,NYSE,01:01:00
267,Sysco Corp.,SYY,NYSE,08:01:00
268,Taiwan Semiconductor Manufacturing,TSM,NYSE,09:01:00
269,Target Corporation,TGT,NYSE,"1 day, 0:01:00"
270,Tata Motors Ltd,TTM,NYSE,01:01:00
271,Telebras PN,RCTB4,BOVESPA,0.7361111111111112
272,Telecom Italia S.P.A. Ordinary Shares,TIIAY,NYSE,01:01:00
273,Telef̫nica Brasil S.A.,VIV,NYSE,01:01:00
274,Telefonica S.A.,TEFO,NYSE,08:01:00
275,Tenaris,TEN,NYSE,01:01:00
276,Ternium S.A.,TXR,NYSE,04:01:00
277,"Tesla, Inc.",TSLA,NASDAQ,15:01:00
278,Texas Instruments Inc,TXN,NASDAQ,05:01:00
279,The Bank Of New York Mellon Corp.,BK,NYSE,02:01:00
280,The Boeing Company,BA,NYSE,"1 day, 0:01:00"
281,The Coca Cola Company,KO,NYSE,05:01:00
282,"The Goldman Sachs Group, Inc",GS,NYSE,13:01:00
283,The Hershey Company,HSY,NYSE,21:01:00
284,The Home Depot Inc.,HD,NYSE,"1 day, 8:01:00"
285,The Mosaic Co,MOS,NYSE,05:01:00
286,The Travelers Cos. Inc.,TRVV,NYSE,06:01:00
287,The Walt Disney Co.,DISN,NYSE,12:01:00
288,Thermo Fisher Scientific Inc.,TMO,NYSE,22:01:00
289,Tim Participa̵̤es S.A.,TIMB,NYSE,01:01:00
290,T-mobile,TMUS,NASDAQ,"1 day, 9:01:00"
291,TotalEnergies SE,TTE,NYSE,03:01:00
292,Toyota Motor Corporation,TM,NYSE,15:01:00
293,TRIP.COM Group Ltd.,TCOM,NASDAQ,02:01:00
294,"Tripadvisor, Inc.",TRIP,NASDAQ,02:01:00
295,Twilio Inc,TWLO,NYSE,"1 day, 12:01:00"
296,"Twitter, Inc.",TWTR,NYSE,02:01:00
297,U.S. Bancorp,USB,NYSE,05:01:00
298,Uber Technologies Inc.,UBER,NYSE,02:01:00
299,Ultrapar Participa̵̤es S.A.,UGP,NYSE,01:01:00
300,Unilever PLC - Sponsored,UL,NYSE,03:01:00
301,Union Pacific Corp.,UNP,NYSE,20:01:00
302,United Airlines Holdings Inc. UAL,UAL,NASDAQ GS,05:01:00
303,United States Steel Corp.,X,NYSE,03:01:00
304,UnitedHealth Group Inc.,UNH,NYSE,"1 day, 9:01:00"
305,Upstart Hldgs Inc UPST,UPST,NASDAQ GS,05:01:00
306,Urban Outfitters INC.,URBN,NASDAQ,02:01:00
307,Vale S.A.,VALE,NYSE,02:01:00
308,"Verisign, Inc.",VRSN,-,06:01:00
309,Verizon Communications Inc.,VZ,NYSE,04:01:00
310,Virgin Galactic,SPCE,NYSE,01:02:00
311,Visa Inc,V,NYSE,18:01:00
312,Vista Energy S.A.B. de C.V.,VIST,NYSE,03:01:00
313,Vodafone Group Plc,VOD,NASDAQ,01:01:00
314,Walgreens Boots Alliance Inc.,WBA,NASDAQ,03:01:00
315,Walmart Inc.,WMT,NYSE,18:01:00
316,Weibo Corporation,WBO,NASDAQ,06:01:00
317,Wells Fargo & Co.,WFC,NYSE,05:01:00
318,Xerox Holding Corporation,XROX,NYSE,01:01:00
319,XP Inc,XP,NASDAQ,04:01:00
320,Yamana Gold Inc.,AUY,NYSE,01:01:00
321,Yanzhou Coal Mining Co. Ltd. YZCA,OTC,US,02:01:00
322,Yelp Inc.,YELP,NYSE,02:01:00
323,Zoom Video Communications Inc.,ZM,NASDAQ,"1 day, 23:01:00"
